closed_ts,pnl,reason
1691798400000,-6.5945,sl
1691971200000,4.4747,tp
1692057600000,6.1227,tp
1692316800000,-8.6443,sl
1692489600000,-6.3830,sl
1692835200000,10.4037,tp
1692921600000,8.8553,tp
1693267200000,-5.8418,sl
1693353600000,6.4676,tp
1693440000000,8.5958,tp
1693612800000,3.1826,tp
1693785600000,4.4739,tp
1693958400000,-6.6611,sl
1694131200000,3.4775,tp
1694304000000,9.5129,tp
1694390400000,3.3974,tp
1694736000000,-6.1212,sl
1694995200000,3.3121,tp
1695340800000,-9.4475,sl
1695513600000,4.4665,tp
1695600000000,3.6300,tp
1695772800000,7.2844,tp
1695945600000,-12.2763,sl
1696118400000,-5.1164,sl
1696291200000,-7.7235,sl
1696550400000,3.1724,tp
1696982400000,5.6261,tp
1697068800000,-7.2902,sl
1697414400000,4.5730,tp
1697500800000,7.9963,tp
1697587200000,-5.4817,sl
1697673600000,5.3924,tp
1697846400000,10.8115,tp
1697932800000,5.2958,tp
1698019200000,9.6402,tp
1698105600000,-10.6149,sl
1698192000000,8.4316,tp
1698278400000,4.5329,tp
1698451200000,-6.1443,sl
1698537600000,3.8473,tp
1698710400000,7.5013,tp
1698883200000,-5.5618,sl
1699228800000,5.6640,tp
1699488000000,-8.0319,sl
1699574400000,5.6573,tp
1699833600000,-20.8133,sl
1699920000000,5.6547,tp
1700006400000,10.7521,tp
1700611200000,-6.2396,sl
1701129600000,3.7538,tp
1701475200000,4.0051,tp
1701648000000,-9.4728,sl
1701734400000,3.1271,tp
1701907200000,4.5683,tp
1701993600000,9.3636,tp
1702166400000,14.8576,tp
1702252800000,-14.4542,sl
1702339200000,3.9051,tp
1702425600000,14.2370,tp
1702684800000,-6.2595,sl
1702771200000,7.0686,tp
1702857600000,3.9975,tp
1702944000000,-5.5054,sl
1703030400000,5.8364,tp
1703116800000,-5.0966,sl
1703203200000,-7.0260,sl
1703289600000,15.5650,tp
1703376000000,-8.4366,sl
1703462400000,5.6852,tp
1703548800000,-7.6518,sl
1703635200000,-12.5266,sl
1703721600000,-13.5619,sl
1703808000000,4.7054,tp
1704067200000,9.8838,tp
1704585600000,6.4160,tp
1704672000000,6.9621,tp
1704844800000,-10.9608,sl
1704931200000,-14.1805,sl
1705017600000,5.4421,tp
1705104000000,6.3034,tp
1705276800000,5.2908,tp
1705449600000,-5.8333,sl
1705536000000,-7.4950,sl
1705708800000,-5.3065,sl
1705881600000,6.2210,tp
1706054400000,3.5570,tp
1706400000000,-6.7147,sl
1706486400000,4.3168,tp
1706745600000,3.2532,tp
1707004800000,5.9332,tp
1707091200000,4.7315,tp
1707264000000,-7.8205,sl
1707436800000,5.6812,tp
1707696000000,-9.5980,sl
1707868800000,-6.5056,sl
1708041600000,-8.6876,sl
1708214400000,9.7046,tp
1708300800000,14.3964,tp
1708387200000,-8.3469,sl
1708473600000,9.3973,tp
1708560000000,5.5282,tp
1708905600000,-6.3928,sl
1708992000000,-19.2651,sl
1709078400000,11.2685,tp
1709164800000,-10.0022,sl
1709251200000,31.6601,tp
1709424000000,23.5538,tp
1709510400000,6.3012,tp
1709596800000,-9.9666,sl
1709683200000,25.3064,tp
1709856000000,19.3916,tp
1709942400000,30.2885,tp
1710028800000,-16.0795,sl
1710201600000,-11.3261,sl
1710374400000,17.7145,tp
1710460800000,-11.6987,sl
1710547200000,-19.9330,sl
1710633600000,12.1686,tp
1710720000000,-9.9795,sl
1710806400000,-15.3642,sl
1710892800000,11.1888,tp
1710979200000,-15.7387,sl
1711152000000,-5.8366,sl
1711238400000,5.9148,tp
1711584000000,10.6248,tp
1712016000000,-5.7923,sl
1712534400000,7.5398,tp
1712620800000,5.0822,tp
1712707200000,5.2370,tp
1712793600000,12.1126,tp
1712880000000,3.7004,tp
1713052800000,-11.3850,sl
1713225600000,-12.3328,sl
1713398400000,-5.0205,sl
1713484800000,-6.2653,sl
1713571200000,-7.1723,sl
1713744000000,-6.9226,sl
1713916800000,8.1689,tp
1714003200000,-7.0643,sl
1714521600000,-7.8426,sl
1714608000000,4.1359,tp
1714694400000,3.2251,tp
1714780800000,4.1631,tp
1715040000000,-5.5395,sl
1715126400000,3.1624,tp
1715299200000,6.5054,tp
1715558400000,15.0022,tp
1715644800000,7.9155,tp
1715731200000,-5.5625,sl
1715990400000,-10.2615,sl
1716249600000,7.1810,tp
1716336000000,-6.8917,sl
1716422400000,11.0800,tp
1716595200000,8.0489,tp
1716854400000,6.5824,tp
1716940800000,-9.6512,sl
1717459200000,6.4941,tp
1717545600000,-7.5452,sl
1717804800000,5.1948,tp
1717977600000,3.5569,tp
1718064000000,7.5275,tp
1718409600000,6.3583,tp
1718582400000,3.0878,tp
1718668800000,3.9267,tp
1718841600000,-13.4715,sl
1719014400000,3.8243,tp
1719100800000,3.9200,tp
1719187200000,-11.6952,sl
1719360000000,4.1126,tp
1719619200000,7.6955,tp
1719878400000,3.3888,tp
1720137600000,4.4256,tp
1720224000000,-7.1851,sl
1720656000000,7.0067,tp
1720828800000,6.6559,tp
1721001600000,-15.1688,sl
1721260800000,-9.8153,sl
1721606400000,6.7276,tp
1721952000000,-8.5289,sl
1722124800000,3.2904,tp
1722297600000,6.8675,tp
1722384000000,4.3512,tp
1722643200000,6.7873,tp
1722902400000,-7.5604,sl
1722988800000,14.0387,tp
1723075200000,-9.4731,sl
1723161600000,5.6152,tp
1723334400000,9.2432,tp
1723507200000,-6.7689,sl
1723852800000,-8.6643,sl
1724112000000,9.7446,tp
1724198400000,-12.0460,sl
1724284800000,-7.9533,sl
1724630400000,-9.9189,sl
1724716800000,6.0520,tp
1725148800000,3.8873,tp
1725408000000,-5.5249,sl
1725840000000,-6.9305,sl
1726012800000,7.1369,tp
1726185600000,-6.7487,sl
1726704000000,8.8955,tp
1726790400000,3.5316,tp
1726963200000,6.1253,tp
1727049600000,6.3374,tp
1727308800000,-11.7422,sl
1727395200000,3.6178,tp
1727568000000,3.5996,tp
1727827200000,4.4627,tp
1727913600000,-12.0944,sl
1728000000000,12.5707,tp
1728086400000,-6.8840,sl
1728172800000,5.4180,tp
1728432000000,-10.1875,sl
1728604800000,8.6360,tp
1728691200000,4.4401,tp
1728777600000,6.8735,tp
1729036800000,-9.9463,sl
1729468800000,-5.1112,sl
1729900800000,-6.2029,sl
1729987200000,5.7235,tp
1730073600000,6.2798,tp
1730419200000,4.5451,tp
1730592000000,5.0729,tp
1730678400000,3.3489,tp
1730851200000,26.0563,tp
1731024000000,5.8253,tp
1731196800000,5.8562,tp
1731283200000,9.9674,tp
1731369600000,-8.2558,sl
1731456000000,11.3655,tp
1731628800000,15.9584,tp
1731715200000,-7.4801,sl
1731888000000,-6.3872,sl
1731974400000,6.1580,tp
1732060800000,3.4013,tp
1732233600000,24.9597,tp
1732320000000,19.7700,tp
1732406400000,-13.1814,sl
1732492800000,-10.1790,sl
1732665600000,-6.2182,sl
1732752000000,-6.2809,sl
1732838400000,22.2015,tp
1732924800000,-5.2131,sl
1733011200000,22.0850,tp
1733097600000,31.4121,tp
1733184000000,-22.3465,sl
1733270400000,-11.9151,sl
1733443200000,14.1288,tp
1733702400000,-9.8668,sl
1733875200000,-8.7716,sl
1734048000000,4.9137,tp
1734393600000,3.0039,tp
1734566400000,7.3511,tp
1734739200000,-13.1351,sl
1734825600000,3.9853,tp
1735084800000,-5.6936,sl
1735344000000,-7.4562,sl
1735689600000,-6.8945,sl
1735862400000,7.9514,tp
1735948800000,3.0219,tp
1736121600000,-16.8072,sl
1736380800000,4.3134,tp
1736812800000,-5.6926,sl
1736985600000,7.4759,tp
1737072000000,-10.4846,sl
1737244800000,-9.6477,sl
1737331200000,-6.8188,sl
1737417600000,-9.9227,sl
1737504000000,5.1375,tp
1737676800000,-5.1887,sl
1737763200000,-7.6323,sl
1737849600000,-6.8476,sl
1738022400000,3.9281,tp
1738108800000,-12.6248,sl
1738281600000,-10.2553,sl
1738368000000,3.9019,tp
1738454400000,5.6275,tp
1738540800000,-19.0197,sl
1738627200000,6.7548,tp
1738713600000,4.1385,tp
1738800000000,11.0355,tp
1738886400000,-7.4480,sl
1738972800000,-10.1307,sl
1739232000000,-6.1595,sl
1739404800000,-6.0491,sl
1739491200000,-7.4419,sl
1739577600000,4.2761,tp
1739836800000,9.0360,tp
1740096000000,-11.5812,sl
1740355200000,13.8953,tp
1740441600000,-12.7920,sl
1740528000000,-10.3415,sl
1740787200000,4.2707,tp
1740873600000,-10.1271,sl
1740960000000,15.0029,tp
1741046400000,7.6244,tp
1741132800000,7.8904,tp
1741219200000,-6.8444,sl
1741305600000,-9.6609,sl
1741392000000,3.7085,tp
1741564800000,8.0978,tp
1741737600000,-8.9520,sl
1741996800000,-7.9709,sl
1742083200000,4.4945,tp
1742256000000,3.4518,tp
1742342400000,-7.4364,sl
1742428800000,6.0667,tp
1742515200000,-6.6119,sl
1742688000000,-5.1692,sl
1742774400000,-10.9993,sl
1742947200000,4.7737,tp
1743120000000,3.0247,tp
1743206400000,5.4031,tp
1743379200000,6.1884,tp
1743552000000,3.7144,tp
1743638400000,-5.1822,sl
1743811200000,-5.7745,sl
1743897600000,4.6225,tp
1743984000000,-11.9958,sl
1744070400000,4.8712,tp
1744156800000,-6.5983,sl
1744243200000,-6.4260,sl
1744416000000,-7.2447,sl
1744761600000,3.9435,tp
1744848000000,-5.3385,sl
1744934400000,-5.0601,sl
1745107200000,4.1233,tp
1745366400000,-7.3412,sl
