symbol,side,opened_dt,closed_dt,days,entry,exit,reason,pnl
ADA,SHORT,2023-03-15,2023-03-22,7,0.3431,0.3694,ema_cross,-5.423928883707371
HBAR,SHORT,2023-03-11,2023-03-31,20,0.05883,0.07497378665583183,cat_stop,-10.0
ZEC,SHORT,2023-03-12,2023-04-01,20,31.36,38.73,ema_cross,-10.0
XLM,LONG,2023-03-28,2023-04-21,24,0.09247,0.09569,ema_cross,2.380572293716882
ADA,LONG,2023-04-15,2023-04-21,6,0.4379,0.3782408168271148,cat_stop,-9.588935293384617
XRP,LONG,2023-03-26,2023-04-22,27,0.4427,0.4484,ema_cross,0.8449270386266156
BTC,LONG,2023-03-20,2023-04-23,34,27955.8,27807.2,ema_cross,-0.4279385315390688
ETH,LONG,2023-04-22,2023-04-25,3,1848.01,1841.19,ema_cross,-0.3142286026590741
INJ,LONG,2023-04-05,2023-05-09,34,5.463,6.655,ema_cross,15.21154969796815
XLM,SHORT,2023-05-05,2023-06-01,27,0.09338,0.09253,ema_cross,0.581436281859073
FIL,SHORT,2023-05-13,2023-06-03,21,4.435,4.961,ema_cross,-8.361462908680958
FET,SHORT,2023-05-14,2023-06-03,20,0.2379,0.2731,ema_cross,-10.0
TRX,LONG,2023-06-03,2023-06-09,6,0.08255,0.07500504873546608,cat_stop,-6.451340156050481
HBAR,SHORT,2023-06-07,2023-06-24,17,0.04948,0.05202,ema_cross,-3.650808407437339
ZEC,SHORT,2023-05-15,2023-06-26,42,32.9,30.49,ema_cross,5.0737106382978725
AVAX,SHORT,2023-05-15,2023-06-27,43,15.014,13.148,ema_cross,8.647360063940322
DOGE,SHORT,2023-06-09,2023-07-02,23,0.06791,0.06849,ema_cross,-0.6540892357531999
ADA,SHORT,2023-06-25,2023-07-13,18,0.2891,0.3435012172714561,cat_stop,-10.0
BNB,SHORT,2023-06-11,2023-07-14,33,238.75,255.99,ema_cross,-5.112681549738222
BTC,LONG,2023-06-28,2023-07-23,25,30683.2,29783.5,ema_cross,-2.1077354252489977
BCH,LONG,2023-06-27,2023-07-25,28,223.57,238.27,ema_cross,4.544744285905986
SOL,LONG,2023-07-15,2023-08-04,20,26.67,22.634,ema_cross,-10.0
XRP,LONG,2023-07-24,2023-08-06,13,0.7379,0.6286,ema_cross,-10.0
ID,SHORT,2023-07-14,2023-08-10,27,0.278,0.2617,ema_cross,4.0499582733813035
XLM,LONG,2023-07-03,2023-08-11,39,0.10729,0.13887,ema_cross,20.53972895889645
DOGE,LONG,2023-08-05,2023-08-16,11,0.07341,0.07086,ema_cross,-2.4865762157744142
UNI,LONG,2023-07-26,2023-08-17,22,5.788,5.455,ema_cross,-4.081686938493437
HBAR,LONG,2023-08-16,2023-08-17,1,0.0676,0.05573233420090423,cat_stop,-10.0
HBAR,LONG,2023-08-18,2023-08-29,11,0.05747,0.05615,ema_cross,-1.663152253349576
FIL,SHORT,2023-08-17,2023-09-21,35,3.726,3.364,ema_cross,6.747579173376278
1000PEPE,SHORT,2023-09-22,2023-09-29,7,0.0006114,0.0007832028570086919,cat_stop,-10.0
ETH,SHORT,2023-08-19,2023-10-01,43,1660.76,1670.17,ema_cross,-0.45278429152918287
1000PEPE,SHORT,2023-09-30,2023-10-01,1,0.0007908,0.0007981,ema_cross,-0.7024395548811343
UNI,SHORT,2023-08-30,2023-10-02,33,4.797,4.652,ema_cross,2.060752136752131
AVAX,SHORT,2023-08-18,2023-10-05,48,10.568,10.093,ema_cross,3.091549205147613
TRX,LONG,2023-10-02,2023-10-12,10,0.09007,0.08483996445641989,cat_stop,-4.119018175367904
WLD,LONG,2023-10-02,2023-10-14,12,1.7782,1.4846,ema_cross,-10.0
DOGE,SHORT,2023-08-20,2023-10-24,65,0.06376,0.06745,ema_cross,-4.108749686323713
NEAR,SHORT,2023-10-15,2023-10-24,9,1.011,1.127744398534372,cat_stop,-8.142426053971327
BCH,LONG,2023-10-25,2023-11-13,19,251.69,236.6,ema_cross,-4.251150701259487
LINK,LONG,2023-10-03,2023-12-17,75,7.465,14.33,ema_cross,64.2919946416611
TRX,LONG,2023-10-13,2023-12-18,66,0.08476,0.10194,ema_cross,14.126621047663992
ADA,LONG,2023-11-14,2024-01-06,53,0.3569,0.5411,ema_cross,36.05731577472682
AVAX,LONG,2023-12-18,2024-01-06,19,40.63,36.458,ema_cross,-7.240917154811722
BTC,LONG,2023-10-21,2024-01-16,87,29653.0,42515.0,ema_cross,30.294381546555158
SOL,LONG,2023-10-25,2024-01-16,83,30.157,94.36,ema_cross,148.91148071757803
NEAR,LONG,2024-01-07,2024-01-16,9,3.476,3.305,ema_cross,-3.4982359033371653
INJ,LONG,2023-12-19,2024-01-21,33,36.894,35.421,ema_cross,-2.8496454708082593
HBAR,SHORT,2024-01-27,2024-02-10,14,0.07447,0.07936,ema_cross,-4.654320397475499
DOGE,SHORT,2024-01-17,2024-02-12,26,0.08136,0.08122,ema_cross,0.06450049164208563
XRP,SHORT,2024-01-17,2024-02-16,30,0.5759,0.5624,ema_cross,1.5855662441396023
XLM,SHORT,2024-01-19,2024-02-16,28,0.11423,0.11678,ema_cross,-1.6192618401470695
ZEC,SHORT,2024-01-07,2024-02-18,42,23.07,24.85,ema_cross,-5.45911400086693
SUI,LONG,2024-02-17,2024-02-28,11,1.8083,1.369609577199728,cat_stop,-10.0
TRX,LONG,2024-02-11,2024-03-13,31,0.12437,0.13147,ema_cross,3.938542092144413
LINK,LONG,2024-02-17,2024-03-18,30,19.567,18.68,ema_cross,-3.227930495221548
ETH,LONG,2024-02-29,2024-03-22,22,3387.07,3495.16,ema_cross,2.1769841072076983
ID,LONG,2024-02-13,2024-03-31,47,0.6159,1.0355,ema_cross,47.614484169508046
WLD,LONG,2024-02-19,2024-03-31,41,5.8991,8.1222,ema_cross,26.313234832432062
1000PEPE,LONG,2024-03-14,2024-04-06,23,0.0090412,0.0065754,ema_cross,-10.0
FET,LONG,2024-03-19,2024-04-12,24,2.4904,2.5508,ema_cross,1.6410401541920978
ONDO,LONG,2024-04-01,2024-04-12,11,0.9776,0.652471846453117,cat_stop,-10.0
BCH,LONG,2024-04-07,2024-04-12,5,694.34,510.1239350246312,cat_stop,-10.0
BCH,LONG,2024-04-13,2024-04-15,2,532.7,525.0,ema_cross,-1.0674218134034223
BNB,LONG,2024-03-23,2024-04-17,25,554.32,537.51,ema_cross,-2.1779319526627288
TRX,SHORT,2024-04-01,2024-04-28,27,0.12313,0.11966,ema_cross,1.9175008527572488
ONDO,LONG,2024-04-13,2024-04-29,16,0.6987,0.7737,ema_cross,7.454948905109497
ZEC,SHORT,2024-04-13,2024-05-19,36,23.21,23.55,ema_cross,-1.0818302455837998
ADA,SHORT,2024-04-16,2024-05-21,35,0.4606,0.5021,ema_cross,-6.365513677811547
UNI,SHORT,2024-04-18,2024-05-21,33,6.886,9.33,ema_cross,-10.0
AVAX,SHORT,2024-04-29,2024-05-21,22,33.941,40.119,ema_cross,-10.0
XLM,SHORT,2024-05-20,2024-05-23,3,0.10552,0.11072,ema_cross,-3.5069628506444253
HBAR,LONG,2024-04-30,2024-05-28,28,0.10314,0.10687,ema_cross,2.4744979639325266
LINK,LONG,2024-05-31,2024-06-10,10,17.949,16.368,ema_cross,-6.219336787564778
1000PEPE,LONG,2024-05-23,2024-06-11,19,0.0133987,0.0120847,ema_cross,-6.918099158873618
